run_id,compute_proc_type,primary_memory_size,index_type,dataset,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
1,M2,16,list,1,468704,2692,2692,26838563919
1,M2,16,list,2,675137,3832,1140,11465302944
1,M2,16,list,3,950424,4880,1048,12113473176
1,M2,16,list,4,1342745,6268,1388,14504919052
1,M2,16,list,5,2486322,9936,3668,38928036212
1,M2,16,list,6,2722572,10696,760,7862324953
1,M2,16,list,7,3423173,12577,1880,20158891916
1,M2,16,list,8,4520233,16545,3968,44170128107
1,M2,16,hash,1,258977,2692,2692,46639680
1,M2,16,hash,2,382045,3832,1140,14016151
1,M2,16,hash,3,512301,4880,1048,4736185
1,M2,16,hash,4,669023,6268,1388,8414030
1,M2,16,hash,5,1209588,9936,3668,13633012
1,M2,16,hash,6,1335685,10696,760,1498937
1,M2,16,hash,7,1633521,12577,1880,6924152
1,M2,16,hash,8,2153839,16545,3968,9599208
1,M2,16,avl,1,468704,2692,2692,31939744
1,M2,16,avl,2,675137,3832,1140,9991884
1,M2,16,avl,3,950424,4880,1048,8446931
1,M2,16,avl,4,1342745,6268,1388,10896921
1,M2,16,avl,5,2486322,9936,3668,27674913
1,M2,16,avl,6,2722572,10696,760,5506992
1,M2,16,avl,7,3423173,12577,1880,15600919
1,M2,16,avl,8,4520233,16545,3968,30390977
1,M2,16,bst,1,468704,2692,2692,30855894
1,M2,16,bst,2,675137,3832,1140,10867834
1,M2,16,bst,3,950424,4880,1048,9762048
1,M2,16,bst,4,1342745,6268,1388,12734889
1,M2,16,bst,5,2486322,9936,3668,33575296
1,M2,16,bst,6,2722572,10696,760,6841897
1,M2,16,bst,7,3423173,12577,1880,17074346
1,M2,16,bst,8,4520233,16545,3968,36056995
2,M2,16,list,1,0,4038,2692,27563638925
2,M2,16,list,2,0,1710,1140,12456296920
2,M2,16,list,3,0,1572,1048,11062857866
2,M2,16,list,4,0,2082,1388,14314100265
2,M2,16,list,5,0,5502,3668,37186823129
2,M2,16,list,6,0,1140,760,7631659746
2,M2,16,list,7,0,2819,1880,19768769979
2,M2,16,list,8,0,5952,3968,40878679990
2,M2,16,hash,1,0,4038,2692,50871849
2,M2,16,hash,2,0,1710,1140,7797956
2,M2,16,hash,3,0,1572,1048,3725051
2,M2,16,hash,4,0,2082,1388,6703138
2,M2,16,hash,5,0,5502,3668,10831832
2,M2,16,hash,6,0,1140,760,1210927
2,M2,16,hash,7,0,2819,1880,4741907
2,M2,16,hash,8,0,5952,3968,5609989
2,M2,16,avl,1,0,4038,2692,28471946
2,M2,16,avl,2,0,1710,1140,9540081
2,M2,16,avl,3,0,1572,1048,11635065
2,M2,16,avl,4,0,2082,1388,10917186
2,M2,16,avl,5,0,5502,3668,34296035
2,M2,16,avl,6,0,1140,760,5845069
2,M2,16,avl,7,0,2819,1880,13982772
2,M2,16,avl,8,0,5952,3968,43720960
2,M2,16,bst,1,0,4038,2692,46924829
2,M2,16,bst,2,0,1710,1140,11210203
2,M2,16,bst,3,0,1572,1048,10025024
2,M2,16,bst,4,0,2082,1388,12940168
2,M2,16,bst,5,0,5502,3668,33808708
2,M2,16,bst,6,0,1140,760,6886005
2,M2,16,bst,7,0,2819,1880,17340183
2,M2,16,bst,8,0,5952,3968,36530256
3,M2,16,list,1,311054,1665,2692,15001403808
3,M2,16,list,2,63679,707,1140,6110574007
3,M2,16,list,3,50226,637,1048,5717598199
3,M2,16,list,4,529527,865,1388,7628319978
3,M2,16,list,5,892501,2286,3668,19163489103
3,M2,16,list,6,141749,469,760,4379379987
3,M2,16,list,7,375413,1178,1880,10018581867
3,M2,16,list,8,998922,2486,3968,21154916048
3,M2,16,hash,1,171145,1665,2692,25159835
3,M2,16,hash,2,40113,707,1140,9770870
3,M2,16,hash,3,37259,637,1048,6165027
3,M2,16,hash,4,113932,865,1388,8291006
3,M2,16,hash,5,435414,2286,3668,14057874
3,M2,16,hash,6,88719,469,760,3231048
3,M2,16,hash,7,233702,1178,1880,3376960
3,M2,16,hash,8,366649,2486,3968,8970975
3,M2,16,avl,1,311054,1665,2692,17697095
3,M2,16,avl,2,63679,707,1140,5885124
3,M2,16,avl,3,50226,637,1048,4809856
3,M2,16,avl,4,529527,865,1388,6115913
3,M2,16,avl,5,892501,2286,3668,20564079
3,M2,16,avl,6,141749,469,760,3105163
3,M2,16,avl,7,375413,1178,1880,7399797
3,M2,16,avl,8,998922,2486,3968,15191078
3,M2,16,bst,1,311054,1665,2692,22223949
3,M2,16,bst,2,63679,707,1140,6078958
3,M2,16,bst,3,50226,637,1048,5196094
3,M2,16,bst,4,529527,865,1388,6947040
3,M2,16,bst,5,892501,2286,3668,17234086
3,M2,16,bst,6,141749,469,760,3489732
3,M2,16,bst,7,375413,1178,1880,8727073
3,M2,16,bst,8,998922,2486,3968,18533945
