run_id,compute_proc_type,primary_memory_size,index_type,dataset,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
1,Intel i5,16,list,1,468704,2692,2692,84591282367
1,Intel i5,16,list,2,675137,3832,1140,35804371118
1,Intel i5,16,list,3,950424,4880,1048,33043626308
1,Intel i5,16,list,4,1342745,6268,1388,44580648422
1,Intel i5,16,list,5,2486322,9936,3668,119618135452
1,Intel i5,16,list,6,2722572,10696,760,24900768280
1,Intel i5,16,list,7,3423173,12577,1880,60909809589
1,Intel i5,16,list,8,4520233,16545,3968,129560953140
1,Intel i5,16,hash,1,258977,2692,2692,13096570
1,Intel i5,16,hash,2,382045,3832,1140,4997730
1,Intel i5,16,hash,3,512301,4880,1048,3000020
1,Intel i5,16,hash,4,669023,6268,1388,4895448
1,Intel i5,16,hash,5,1209588,9936,3668,10987520
1,Intel i5,16,hash,6,1335685,10696,760,1999378
1,Intel i5,16,hash,7,1633521,12577,1880,5016326
1,Intel i5,16,hash,8,2153839,16545,3968,10001659
1,Intel i5,16,avl,1,468704,2692,2692,47527313
1,Intel i5,16,avl,2,675137,3832,1140,19996881
1,Intel i5,16,avl,3,950424,4880,1048,17027854
1,Intel i5,16,avl,4,1342745,6268,1388,22511005
1,Intel i5,16,avl,5,2486322,9936,3668,58517217
1,Intel i5,16,avl,6,2722572,10696,760,13000249
1,Intel i5,16,avl,7,3423173,12577,1880,30001401
1,Intel i5,16,avl,8,4520233,16545,3968,59513092
1,Intel i5,16,bst,1,468704,2692,2692,67594528
1,Intel i5,16,bst,2,675137,3832,1140,23986339
1,Intel i5,16,bst,3,950424,4880,1048,21998167
1,Intel i5,16,bst,4,1342745,6268,1388,30004739
1,Intel i5,16,bst,5,2486322,9936,3668,79700231
1,Intel i5,16,bst,6,2722572,10696,760,17004251
1,Intel i5,16,bst,7,3423173,12577,1880,39505720
1,Intel i5,16,bst,8,4520233,16545,3968,83510637
2,Intel i5,16,list,1,468704,4038,2692,92564838647
2,Intel i5,16,list,2,206433,1710,1140,52469392776
2,Intel i5,16,list,3,275287,1572,1048,44054831266
2,Intel i5,16,list,4,392321,2082,1388,60539915561
2,Intel i5,16,list,5,1143577,5502,3668,177709020137
2,Intel i5,16,list,6,236250,1140,760,43035362958
2,Intel i5,16,list,7,700601,2819,1880,96777438163
2,Intel i5,16,list,8,1097060,5952,3968,193933971166
2,Intel i5,16,hash,1,258977,4038,2692,11524200
2,Intel i5,16,hash,2,123068,1710,1140,3994464
2,Intel i5,16,hash,3,130256,1572,1048,6742238
2,Intel i5,16,hash,4,156722,2082,1388,6646394
2,Intel i5,16,hash,5,540565,5502,3668,12967348
2,Intel i5,16,hash,6,126097,1140,760,2582073
2,Intel i5,16,hash,7,297836,2819,1880,6687402
2,Intel i5,16,hash,8,520318,5952,3968,14725923
2,Intel i5,16,avl,1,468704,4038,2692,136002302
2,Intel i5,16,avl,2,206433,1710,1140,33586740
2,Intel i5,16,avl,3,275287,1572,1048,27486801
2,Intel i5,16,avl,4,392321,2082,1388,25492191
2,Intel i5,16,avl,5,1143577,5502,3668,59291362
2,Intel i5,16,avl,6,236250,1140,760,12511968
2,Intel i5,16,avl,7,700601,2819,1880,30823707
2,Intel i5,16,avl,8,1097060,5952,3968,67986965
2,Intel i5,16,bst,1,468704,4038,2692,77803134
2,Intel i5,16,bst,2,206433,1710,1140,26638507
2,Intel i5,16,bst,3,275287,1572,1048,21615743
2,Intel i5,16,bst,4,392321,2082,1388,31899213
2,Intel i5,16,bst,5,1143577,5502,3668,101976394
2,Intel i5,16,bst,6,236250,1140,760,17685174
2,Intel i5,16,bst,7,700601,2819,1880,46705484
2,Intel i5,16,bst,8,1097060,5952,3968,89617967
3,Intel i5,16,list,1,311054,1665,2692,66531885862
3,Intel i5,16,list,2,63679,707,1140,28677648782
3,Intel i5,16,list,3,50226,637,1048,22185683012
3,Intel i5,16,list,4,529527,865,1388,32038548469
3,Intel i5,16,list,5,892501,2286,3668,93285369396
3,Intel i5,16,list,6,141749,469,760,14997693538
3,Intel i5,16,list,7,375413,1178,1880,48316496133
3,Intel i5,16,list,8,998922,2486,3968,113392473220
3,Intel i5,16,hash,1,171145,1665,2692,6505727
3,Intel i5,16,hash,2,40113,707,1140,5590677
3,Intel i5,16,hash,3,37259,637,1048,9750366
3,Intel i5,16,hash,4,113932,865,1388,4613637
3,Intel i5,16,hash,5,435414,2286,3668,9799957
3,Intel i5,16,hash,6,88719,469,760,2578735
3,Intel i5,16,hash,7,233702,1178,1880,5009651
3,Intel i5,16,hash,8,366649,2486,3968,21818637
3,Intel i5,16,avl,1,311054,1665,2692,61865329
3,Intel i5,16,avl,2,63679,707,1140,17115831
3,Intel i5,16,avl,3,50226,637,1048,25233507
3,Intel i5,16,avl,4,529527,865,1388,27824878
3,Intel i5,16,avl,5,892501,2286,3668,59281349
3,Intel i5,16,avl,6,141749,469,760,8526563
3,Intel i5,16,avl,7,375413,1178,1880,26478052
3,Intel i5,16,avl,8,998922,2486,3968,76275110
3,Intel i5,16,bst,1,311054,1665,2692,104537010
3,Intel i5,16,bst,2,63679,707,1140,23454427
3,Intel i5,16,bst,3,50226,637,1048,17982244
3,Intel i5,16,bst,4,529527,865,1388,30450344
3,Intel i5,16,bst,5,892501,2286,3668,104563236
3,Intel i5,16,bst,6,141749,469,760,14980792
3,Intel i5,16,bst,7,375413,1178,1880,46864271
3,Intel i5,16,bst,8,998922,2486,3968,110358476
