run_id,compute_proc_type,primary_memory_size,index_type,dataset,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
1,M2,16,list,1,468704,2692,2692,37559116840
1,M2,16,list,2,675137,3832,1140,15803394079
1,M2,16,list,3,950424,4880,1048,14616805315
1,M2,16,list,4,1342745,6268,1388,19358242034
1,M2,16,list,5,2486322,9936,3668,51192892789
1,M2,16,list,6,2722572,10696,760,10564215898
1,M2,16,list,7,3423173,12577,1880,26150062799
1,M2,16,list,8,4520233,16545,3968,55307821035
1,M2,16,hash,1,258977,2692,2692,24770736
1,M2,16,hash,2,382045,3832,1140,3668069
1,M2,16,hash,3,512301,4880,1048,2697944
1,M2,16,hash,4,669023,6268,1388,2886056
1,M2,16,hash,5,1209588,9936,3668,5535840
1,M2,16,hash,6,1335685,10696,760,1091003
1,M2,16,hash,7,1633521,12577,1880,2304077
1,M2,16,hash,8,2153839,16545,3968,4178047
1,M2,16,avl,1,468704,2692,2692,42082071
1,M2,16,avl,2,675137,3832,1140,10572671
1,M2,16,avl,3,950424,4880,1048,9148836
1,M2,16,avl,4,1342745,6268,1388,11003017
1,M2,16,avl,5,2486322,9936,3668,27709007
1,M2,16,avl,6,2722572,10696,760,5581140
1,M2,16,avl,7,3423173,12577,1880,13810873
1,M2,16,avl,8,4520233,16545,3968,29042005
1,M2,16,bst,1,468704,2692,2692,34109354
1,M2,16,bst,2,675137,3832,1140,11297941
1,M2,16,bst,3,950424,4880,1048,9985208
1,M2,16,bst,4,1342745,6268,1388,13105869
1,M2,16,bst,5,2486322,9936,3668,34162044
1,M2,16,bst,6,2722572,10696,760,7102251
1,M2,16,bst,7,3423173,12577,1880,17757892
1,M2,16,bst,8,4520233,16545,3968,36958932
2,M2,16,list,1,468704,4038,2692,37623380184
2,M2,16,list,2,206433,1710,1140,15902560710
2,M2,16,list,3,275287,1572,1048,14673779964
2,M2,16,list,4,392321,2082,1388,19384258031
2,M2,16,list,5,1143577,5502,3668,51000512838
2,M2,16,list,6,236250,1140,760,10559577941
2,M2,16,list,7,700601,2819,1880,26309803009
2,M2,16,list,8,1097060,5952,3968,55247325897
2,M2,16,hash,1,258977,4038,2692,2330064
2,M2,16,hash,2,123068,1710,1140,862121
2,M2,16,hash,3,130256,1572,1048,758647
2,M2,16,hash,4,156722,2082,1388,1013040
2,M2,16,hash,5,540565,5502,3668,2511262
2,M2,16,hash,6,126097,1140,760,511884
2,M2,16,hash,7,297836,2819,1880,1232862
2,M2,16,hash,8,520318,5952,3968,2494096
2,M2,16,avl,1,468704,4038,2692,20862817
2,M2,16,avl,2,206433,1710,1140,8504152
2,M2,16,avl,3,275287,1572,1048,7647037
2,M2,16,avl,4,392321,2082,1388,10098218
2,M2,16,avl,5,1143577,5502,3668,26304960
2,M2,16,avl,6,236250,1140,760,5465030
2,M2,16,avl,7,700601,2819,1880,13396978
2,M2,16,avl,8,1097060,5952,3968,28368949
2,M2,16,bst,1,468704,4038,2692,26291847
2,M2,16,bst,2,206433,1710,1140,10793924
2,M2,16,bst,3,275287,1572,1048,9833097
2,M2,16,bst,4,392321,2082,1388,12940168
2,M2,16,bst,5,1143577,5502,3668,34024238
2,M2,16,bst,6,236250,1140,760,7120132
2,M2,16,bst,7,700601,2819,1880,17559766
2,M2,16,bst,8,1097060,5952,3968,36947965
3,M2,16,list,1,311054,1665,2692,18780783891
3,M2,16,list,2,63679,707,1140,8000770092
3,M2,16,list,3,50226,637,1048,7292536973
3,M2,16,list,4,529527,865,1388,9771723031
3,M2,16,list,5,892501,2286,3668,25653917789
3,M2,16,list,6,141749,469,760,5375691175
3,M2,16,list,7,375413,1178,1880,13349049091
3,M2,16,list,8,998922,2486,3968,27928260087
3,M2,16,hash,1,171145,1665,2692,7810115
3,M2,16,hash,2,40113,707,1140,2357959
3,M2,16,hash,3,37259,637,1048,2051830
3,M2,16,hash,4,113932,865,1388,2679109
3,M2,16,hash,5,435414,2286,3668,18628120
3,M2,16,hash,6,88719,469,760,1024007
3,M2,16,hash,7,233702,1178,1880,2521038
3,M2,16,hash,8,366649,2486,3968,4321813
3,M2,16,avl,1,311054,1665,2692,13437986
3,M2,16,avl,2,63679,707,1140,5011320
3,M2,16,avl,3,50226,637,1048,4269123
3,M2,16,avl,4,529527,865,1388,5562782
3,M2,16,avl,5,892501,2286,3668,14188766
3,M2,16,avl,6,141749,469,760,2940177
3,M2,16,avl,7,375413,1178,1880,7057189
3,M2,16,avl,8,998922,2486,3968,14769315
3,M2,16,bst,1,311054,1665,2692,20084857
3,M2,16,bst,2,63679,707,1140,6072044
3,M2,16,bst,3,50226,637,1048,5186080
3,M2,16,bst,4,529527,865,1388,6794929
3,M2,16,bst,5,892501,2286,3668,17153978
3,M2,16,bst,6,141749,469,760,3549814
3,M2,16,bst,7,375413,1178,1880,8744001
3,M2,16,bst,8,998922,2486,3968,18457889
